userId,movieId,rating
599,1,3.0
599,296,5.0
599,356,3.5
599,593,3.0
599,1036,4.0
599,1721,3.0
599,2000,3.5
599,2987,3.5
292,1,4.0
292,296,3.0
292,356,4.5
292,593,3.0
292,1036,4.0
292,1721,4.0
292,2000,4.5
292,2987,4.0
590,1,4.0
590,296,4.5
590,356,5.0
590,593,3.5
590,1036,4.0
590,1721,3.5
590,2000,3.5
590,2987,3.0
603,1,4.0
603,296,5.0
603,356,3.0
603,593,5.0
603,1036,4.0
603,1721,3.0
603,2000,3.0
603,2987,3.0
68,1,2.5
68,296,2.0
68,356,3.5
68,593,3.5
68,1036,3.0
68,1721,3.0
68,2000,3.5
68,2987,2.5
18,1,3.5
18,296,4.0
18,356,4.5
18,593,4.5
18,1036,4.0
18,1721,4.0
18,2000,4.0
66,1,4.0
66,296,5.0
66,356,5.0
66,593,4.0
66,1036,4.0
66,2000,3.5
66,2987,4.0
600,1,2.5
600,296,4.5
600,356,4.0
600,593,4.0
600,1036,3.0
600,1721,3.0
600,2987,3.0
219,1,3.5
219,296,4.0
219,593,4.5
219,1036,5.0
219,1721,0.5
219,2987,5.0
226,1,3.5
226,296,4.5
226,356,4.0
226,1036,3.0
226,1721,1.5
226,2987,3.0
